team,game,total_team,total_overall,percentage
Team Liquid,Dota 2,32375288.10,377396784.96,8.58
Team Liquid,Counter-Strike: Global Offensive,5904007.35,162757246.36,3.63
Team Liquid,StarCraft II,2524757.77,43451866.17,5.81
Team Liquid,League of Legends,2237744.75,121953068.43,1.83
Team Liquid,Rainbow Six Siege,2170091.33,49885252.94,4.35
OG,Dota 2,37359145.63,377396784.96,9.90
OG,Counter-Strike: Global Offensive,1122608.10,162757246.36,0.69
OG,Counter-Strike 2,212881.18,39119006.48,0.54
OG,Rocket League,58900.00,50596509.65,0.12
OG,VALORANT,13431.25,34112105.35,0.04
Team Spirit,Dota 2,30267394.81,377396784.96,8.02
Team Spirit,Counter-Strike 2,3445639.04,39119006.48,8.81
Team Spirit,Counter-Strike: Global Offensive,1331161.10,162757246.36,0.82
Team Spirit,Hearthstone,275968.49,31231683.48,0.88
Team Spirit,Mobile Legends: Bang Bang,216000.00,21519451.87,1.00