team,player_id,player_name,country,total_team,total_overall,percentage
Team Liquid,MinD_ContRoL,Ivan Ivanov,Bulgaria,4461929.20,4704032.25,94.85
Team Liquid,KuroKy,Kuro Takhasomi,Germany,4458429.20,5295698.85,84.19
Team Liquid,GH,Maroun Merhej,Lebanon,4086937.73,4359887.60,93.74
Team Liquid,Miracle-,Amer Al-Barkawi,Jordan,4068404.40,4913585.26,82.80
Team Liquid,Matumbaman,Lasse Urpalainen,Finland,3896369.60,4873086.24,79.96
OG,N0tail,Johan Sundstein,Denmark,6953722.23,7184163.05,96.79
OG,JerAx,Jesse Vainikka,Finland,6068960.20,6486623.98,93.56
OG,ana,Anathan Pham,Australia,5976645.23,6024411.96,99.21
OG,Ceb,Sébastien Debs,France,5901432.23,5949442.73,99.19
OG,Topson,Topias Taavitsainen,Finland,5686839.20,5898810.60,96.41
Team Spirit,Miposhka,Yaroslav Naidenov,Russia,5984211.81,6227771.49,96.09
Team Spirit,Collapse,Magomed Khalilov,Russia,5931211.81,5940111.07,99.85
Team Spirit,Yatoro,Ilya Mulyarchuk,Ukraine,5924211.81,5932736.05,99.86
Team Spirit,Mira,Miroslaw Kolpakov,Ukraine,5560851.33,5638899.05,98.62
Team Spirit,TORONTOTOKYO,Alexander Khertek,Russia,3973920.01,4539863.50,87.53