country,total_prize_usd
China,326679076.36
United States,296592287.27
Korea, Republic of,156606086.60
Russian Federation,95915166.91
Brazil,71612018.67
Denmark,63686735.20
France,61133796.24
Sweden,58351048.00
Germany,52650498.42
Canada,50150635.49
United Kingdom,49162133.00
Japan,41242373.40
Ukraine,40323150.48
Australia,34302706.00
Finland,33945843.04
Poland,31664225.15
Thailand,31091611.21
Philippines,26731678.12
Malaysia,23204567.86
Taiwan, Republic of China,22972460.83
Indonesia,21727571.55
Viet Nam,19408765.25
Netherlands,19132862.99
Spain,16205519.07
Saudi Arabia,15279452.65
Turkey,14519187.18
Norway,13860769.96
Argentina,10809950.36
Mexico,10739969.39
Israel,10461424.15
Bulgaria,10455892.47
Peru,9730018.21
Jordan,9685991.92
Italy,8348428.83
Singapore,7823726.81
Estonia,7822277.18
India,7771809.49
Pakistan,7098441.42
Czech Republic,6925325.03
Kazakhstan,6657567.29
Austria,6438250.27
Romania,6385913.55
Slovakia,6297540.52
Belgium,6000552.51
Portugal,5934598.11
Mongolia,5933314.22
Lebanon,5768871.31
Hong Kong,5354509.62
Belarus,5185689.65
North Macedonia,4514935.79
Serbia,4440130.68
Bosnia and Herzegovina,3741652.68
Chile,3739320.65
Switzerland,3470244.03
Slovenia,3410942.44
Latvia,3373819.18
Egypt,2880708.62
Greece,2815513.30
New Zealand,2686091.19
Lithuania,2644615.37
Hungary,2548125.66
South Africa,2342441.61
Armenia,2261055.86
Croatia,2199299.39
Morocco,2051422.55
Macao,1819458.11
Nepal,1685473.25
Moldova, Republic of,1648296.89
Myanmar,1562988.38
Kyrgyzstan,1542137.48
Iraq,1534970.96
Ireland,1479847.58
Colombia,1420863.48
Uzbekistan,1266185.35
Dominican Republic,1234928.01
Puerto Rico,1115268.91
Uruguay,1058114.39
United Arab Emirates,1054113.80
Bolivia,1051882.46
Iran, Islamic Republic of,880340.77
Cambodia,876527.13
Algeria,846981.35
Kuwait,773218.59
Azerbaijan,676434.77
Georgia,674674.06
Cuba,667031.19
Syrian Arab Republic,573387.51
Kosovo, Republic of,553451.17
Bahrain,531236.46
Guatemala,530752.77
Montenegro,488035.70
Venezuela,469501.61
Tunisia,421066.06
Laos,357908.04
Ecuador,316056.05
Tonga,293090.17
Iceland,282589.68
Bangladesh,262928.37
Nicaragua,225650.28
Costa Rica,197254.00
Palestine, State of,188792.98
Malta,187994.59
Senegal,177159.17
Panama,141747.61
Albania,141037.50
Luxembourg,139363.90
Gibraltar,129149.51
Qatar,122471.18
Brunei Darussalam,109475.63
Honduras,102812.29
Oman,101006.91
Afghanistan,79784.20
Yemen,79638.74
Paraguay,69349.69
Libyan Arab Jamahiriya,66120.30
El Salvador,43332.19
Sri Lanka,33112.34
Nigeria,32086.71
Reunion,31855.23
Cameroon,29399.20
Jamaica,26074.54
Ethiopia,23669.95
Mauritius,21523.33
Trinidad and Tobago,17419.26
French Polynesia,16773.21
Greenland,15325.00
Monaco,12764.54
Côte D'Ivoire,10909.22
Faroe Islands,9849.49
Guadeloupe,8888.64
Guyana,8366.67
Turkmenistan,7553.95
Sudan,6455.84
Fiji,6415.25
Namibia,6221.59
Netherlands Antilles,5700.00
Suriname,5655.04
Maldives,5421.54
Tanzania, United Republic of,4500.00
Madagascar,4458.00
Jersey,4378.85
New Caledonia,4362.97
Zimbabwe,4360.00
Isle of Man,4316.00
Åland Islands,3920.20
Guernsey,3670.11
Ghana,3649.89
Tajikistan,3475.00
Mozambique,2345.69
Cyprus,2032.79
Kenya,2004.94
Haiti,1900.00
American Samoa,1750.00
Zambia,1635.44
Guam,1250.00
Angola,1200.00
Togo,1200.00
Andorra,952.26
Mauritania,759.00
Wallis And Futuna,600.00
Gabon,540.50
Aruba,518.74
Bermuda,506.00
Tuvalu,500.00
Botswana,338.49
Northern Mariana Islands,300.00
Niger,300.00
Bahamas,263.00
Belize,250.00
Dominica,200.00
Uganda,149.66
Virgin Islands, U.S.,100.00
Niue,65.97
Liechtenstein,56.47
Saint Martin,50.00
United States Minor Outlying Islands,30.00
Antigua and Barbuda,28.42
Papua New Guinea,25.00
Saint Kitts and Nevis,20.00
Saint Barthélemy,7.63